text,span,label,ordinal
kenapa ya suka berobat ke penang,general,,0
kalau terduga maling jelaslah aneh berobat ke luar negeri,general,,0
benar apa yg kiki katakan kebanyakan dokter diagnosa nya salah ambil gampang nya aja jgn salahkan pasien pd berobat ke luar negeri misal nya sakit flu bilangin sakit ini lah sakit itulah harus gini harus gitu kelemahan dokter yg da di indonesia,pelayanan,,0
benar apa yg kiki katakan kebanyakan dokter diagnosa nya salah ambil gampang nya aja jgn salahkan pasien pd berobat ke luar negeri misal nya sakit flu bilangin sakit ini lah sakit itulah harus gini harus gitu kelemahan dokter yg da di indonesia,aksesibilitas,,0
benar apa yg kiki katakan kebanyakan dokter diagnosa nya salah ambil gampang nya aja jgn salahkan pasien pd berobat ke luar negeri misal nya sakit flu bilangin sakit ini lah sakit itulah harus gini harus gitu kelemahan dokter yg da di indonesia,kualitas_diagnosis,,0
keluarga besar saya pernah mengalami kekecewaan terhadap salah satu rumah sakit di indonesia sekitar tahun lalu om saya melakukan check di indonesia dan dokter mengatakan beliau hanya sakit biasa tetapi berjalannya waktu om saya semakin merasakan rasa sakit sehingga beliau memutuskan untuk check di rumah sakit singapore dan ternyata beliau di diagnosa kanker hidung stadium karena ia mengalami kanker tersebut mata beliau mulai sulit digunakan tubuh semakin kuru dan hanya bisa mengkonsumsi makanan yg lunak saja singkatnya beliau berobat rutin ke singapore sampai ia hampir sembuh total tetapi dokter mengatakan ia harus melakukan checkup bulan sekali ke r tersebut tetapi karena datangnya covid beliau tidak dapat melakukan checkup tersebut pada tengah tahun dimana pada saat itu covid kembali ramai dan meningkat semakin tinggi secara tibatiba disaat itu pun kondisi om saya sudah sangat membaik sejak awal tahun sudah mulai belajar mengendarai mobil kembali nafsu makan yang tinggi dan tubuh yang segar sampai suatu hari tepatnya tahun tersebut om saya merasa bahwa tubuhnya tidak enak karena beliau melakukan olahraga setiap hari tetapi r di kota tmpt om saya tinggal mengatakan bahwa om saya terkena covid kami sebagai keluarga menyetujui utk beliau dirawat di r dikarenakan om saya memiliki riwayat kanker tersebut dan kami ingin pihak r membantu merawat om kami yg terkena covid pada saat mengantarkan ke r pun beliau tidak di jemput ambulance melainkan keluarga kami lah yang mengantarkan ke igd dan pada saat itu om saya masih mau di suapi oleh kakak saya makan dan tentunya lahap hanya seperti orang demam biasa setiap harinya kami rutin mengantarkan makanan utk beliau tetapi karena beliau dikatakan terpapar covid kami tidak bisa langsung menemui nya beberapa hari perasaan kami sebagai keluarga memiliki kekhawatiran yang berlebih hingga akhirnya mama saya sebagai kakak dr om saya memutuskan utk ingin menemui om saya secara langsung saat itu pihak r tidak mengizinkan secara terus menerus sampai mama saya bilang quotkalau sampe saya terkena covid gapapa saya mau liat adek sayaquot dokter masih tidak mengizinkan dan mama saya tetap memaksa saya pikir dokter dan pihak r tidak mengizinkan karena memang tidak ingin masyarakatnya terkena covid lagi ternyata tidak saat mama saya berhasil menemui om saya kondisi om saya sudah koma badan lebam semua makanan yg dibawakan oleh keluarga saya setiap harinya tidak ada yang di konsumsi om saya hingga semua basi dan pihak r hanya diam saja keluarga besar saya memutuskan untuk merawat om saya dirumah rasa kecewa yg kami alami saat itu sangat besar kami sangat terpukul dan tidak terima atas prilaku pihak r saat itu bisa dikatakan om saya sudah hampir tidak tertolong sudah tidak dapat berbicara tidak mengenal anggota keluarga kami seperti org linglung berjalannya waktu akhirnya om saya bisa sadar dan mengenal kami secara perlahan kami terus melatih ingatan beliau dan beliau menceritakan apa yg terjadi selama ia di rawat di r pertama om saya berusaha memanggil perawat disana karena ingin minum tetapi tidak ada satupun yg merespon kedua om saya berusaha mengambil sendiri tanpa bantuan mereka tetapi ia terjatuh dari kasur dan mengalami benturan yg kera parahnya perawat tidak langsung mengangkat tubuh om saya mereka memilih mendiamkan om saya bbrp waktu ketiga makanan yg kami bawakan bahkan makanan dari r pun tidak mereka bantu utk menyuapi om saya dgn kondisi om saya yg sudah tidak menahan sakit dan tidak dpt makan sendiri kami sekeluarga memilih tidak perhitungan kepada r tersebut mrk pun tidak meminta maaf dan tidak menjelaskan apapun kami hanya ingin om saya cepat pulih dengan pengalaman yg terjadi pada keluarga besar saya kami berharap r manapun di indonesia dapat lebih bisa menjaga pasiennya saya tau semua manusia dlm pekerjaan apapun pasti akan pernah melakukan kesalahan tapi tolong jika masih memiliki hati nurani bantu sebisa mungkin saat pasien membutuhkan karena ketika para pasien memutuskan utk opname di r kami mengharapkan bantuan kalian hingga kami kembali pulih ini menyangkut nyawa dan sangat disayangkan semenjak kejadian itu kondisi om saya kembali memburuk dan tidak dapat melakukan pengobatan di luar negeri hanya bisa dilakukan di kota besar indonesia tetapi tetap tidak ada perkembangan dan kankernya kembali tumbuh tetapi kali ini kanker yg dialami om saya terdapat tumor dibagian perut sampai akhirnya beliau meninggal di tahun kemarinbrbrtujuan saya menceritakan hal ini bukan untuk menjelekjelekkan pihak manapun terutama pihak r indonesia saya bercerita agar tidak ada lagi keluarga lain yang mengalami hal tersebut dan tidak ada lagi rumah sakit yang melakukan hal seperti ini mohon maaf jika ada salah kata dari cerita saya terimakasih,fasilitas,,0
keluarga besar saya pernah mengalami kekecewaan terhadap salah satu rumah sakit di indonesia sekitar tahun lalu om saya melakukan check di indonesia dan dokter mengatakan beliau hanya sakit biasa tetapi berjalannya waktu om saya semakin merasakan rasa sakit sehingga beliau memutuskan untuk check di rumah sakit singapore dan ternyata beliau di diagnosa kanker hidung stadium karena ia mengalami kanker tersebut mata beliau mulai sulit digunakan tubuh semakin kuru dan hanya bisa mengkonsumsi makanan yg lunak saja singkatnya beliau berobat rutin ke singapore sampai ia hampir sembuh total tetapi dokter mengatakan ia harus melakukan checkup bulan sekali ke r tersebut tetapi karena datangnya covid beliau tidak dapat melakukan checkup tersebut pada tengah tahun dimana pada saat itu covid kembali ramai dan meningkat semakin tinggi secara tibatiba disaat itu pun kondisi om saya sudah sangat membaik sejak awal tahun sudah mulai belajar mengendarai mobil kembali nafsu makan yang tinggi dan tubuh yang segar sampai suatu hari tepatnya tahun tersebut om saya merasa bahwa tubuhnya tidak enak karena beliau melakukan olahraga setiap hari tetapi r di kota tmpt om saya tinggal mengatakan bahwa om saya terkena covid kami sebagai keluarga menyetujui utk beliau dirawat di r dikarenakan om saya memiliki riwayat kanker tersebut dan kami ingin pihak r membantu merawat om kami yg terkena covid pada saat mengantarkan ke r pun beliau tidak di jemput ambulance melainkan keluarga kami lah yang mengantarkan ke igd dan pada saat itu om saya masih mau di suapi oleh kakak saya makan dan tentunya lahap hanya seperti orang demam biasa setiap harinya kami rutin mengantarkan makanan utk beliau tetapi karena beliau dikatakan terpapar covid kami tidak bisa langsung menemui nya beberapa hari perasaan kami sebagai keluarga memiliki kekhawatiran yang berlebih hingga akhirnya mama saya sebagai kakak dr om saya memutuskan utk ingin menemui om saya secara langsung saat itu pihak r tidak mengizinkan secara terus menerus sampai mama saya bilang quotkalau sampe saya terkena covid gapapa saya mau liat adek sayaquot dokter masih tidak mengizinkan dan mama saya tetap memaksa saya pikir dokter dan pihak r tidak mengizinkan karena memang tidak ingin masyarakatnya terkena covid lagi ternyata tidak saat mama saya berhasil menemui om saya kondisi om saya sudah koma badan lebam semua makanan yg dibawakan oleh keluarga saya setiap harinya tidak ada yang di konsumsi om saya hingga semua basi dan pihak r hanya diam saja keluarga besar saya memutuskan untuk merawat om saya dirumah rasa kecewa yg kami alami saat itu sangat besar kami sangat terpukul dan tidak terima atas prilaku pihak r saat itu bisa dikatakan om saya sudah hampir tidak tertolong sudah tidak dapat berbicara tidak mengenal anggota keluarga kami seperti org linglung berjalannya waktu akhirnya om saya bisa sadar dan mengenal kami secara perlahan kami terus melatih ingatan beliau dan beliau menceritakan apa yg terjadi selama ia di rawat di r pertama om saya berusaha memanggil perawat disana karena ingin minum tetapi tidak ada satupun yg merespon kedua om saya berusaha mengambil sendiri tanpa bantuan mereka tetapi ia terjatuh dari kasur dan mengalami benturan yg kera parahnya perawat tidak langsung mengangkat tubuh om saya mereka memilih mendiamkan om saya bbrp waktu ketiga makanan yg kami bawakan bahkan makanan dari r pun tidak mereka bantu utk menyuapi om saya dgn kondisi om saya yg sudah tidak menahan sakit dan tidak dpt makan sendiri kami sekeluarga memilih tidak perhitungan kepada r tersebut mrk pun tidak meminta maaf dan tidak menjelaskan apapun kami hanya ingin om saya cepat pulih dengan pengalaman yg terjadi pada keluarga besar saya kami berharap r manapun di indonesia dapat lebih bisa menjaga pasiennya saya tau semua manusia dlm pekerjaan apapun pasti akan pernah melakukan kesalahan tapi tolong jika masih memiliki hati nurani bantu sebisa mungkin saat pasien membutuhkan karena ketika para pasien memutuskan utk opname di r kami mengharapkan bantuan kalian hingga kami kembali pulih ini menyangkut nyawa dan sangat disayangkan semenjak kejadian itu kondisi om saya kembali memburuk dan tidak dapat melakukan pengobatan di luar negeri hanya bisa dilakukan di kota besar indonesia tetapi tetap tidak ada perkembangan dan kankernya kembali tumbuh tetapi kali ini kanker yg dialami om saya terdapat tumor dibagian perut sampai akhirnya beliau meninggal di tahun kemarinbrbrtujuan saya menceritakan hal ini bukan untuk menjelekjelekkan pihak manapun terutama pihak r indonesia saya bercerita agar tidak ada lagi keluarga lain yang mengalami hal tersebut dan tidak ada lagi rumah sakit yang melakukan hal seperti ini mohon maaf jika ada salah kata dari cerita saya terimakasih,pelayanan,,0
keluarga besar saya pernah mengalami kekecewaan terhadap salah satu rumah sakit di indonesia sekitar tahun lalu om saya melakukan check di indonesia dan dokter mengatakan beliau hanya sakit biasa tetapi berjalannya waktu om saya semakin merasakan rasa sakit sehingga beliau memutuskan untuk check di rumah sakit singapore dan ternyata beliau di diagnosa kanker hidung stadium karena ia mengalami kanker tersebut mata beliau mulai sulit digunakan tubuh semakin kuru dan hanya bisa mengkonsumsi makanan yg lunak saja singkatnya beliau berobat rutin ke singapore sampai ia hampir sembuh total tetapi dokter mengatakan ia harus melakukan checkup bulan sekali ke r tersebut tetapi karena datangnya covid beliau tidak dapat melakukan checkup tersebut pada tengah tahun dimana pada saat itu covid kembali ramai dan meningkat semakin tinggi secara tibatiba disaat itu pun kondisi om saya sudah sangat membaik sejak awal tahun sudah mulai belajar mengendarai mobil kembali nafsu makan yang tinggi dan tubuh yang segar sampai suatu hari tepatnya tahun tersebut om saya merasa bahwa tubuhnya tidak enak karena beliau melakukan olahraga setiap hari tetapi r di kota tmpt om saya tinggal mengatakan bahwa om saya terkena covid kami sebagai keluarga menyetujui utk beliau dirawat di r dikarenakan om saya memiliki riwayat kanker tersebut dan kami ingin pihak r membantu merawat om kami yg terkena covid pada saat mengantarkan ke r pun beliau tidak di jemput ambulance melainkan keluarga kami lah yang mengantarkan ke igd dan pada saat itu om saya masih mau di suapi oleh kakak saya makan dan tentunya lahap hanya seperti orang demam biasa setiap harinya kami rutin mengantarkan makanan utk beliau tetapi karena beliau dikatakan terpapar covid kami tidak bisa langsung menemui nya beberapa hari perasaan kami sebagai keluarga memiliki kekhawatiran yang berlebih hingga akhirnya mama saya sebagai kakak dr om saya memutuskan utk ingin menemui om saya secara langsung saat itu pihak r tidak mengizinkan secara terus menerus sampai mama saya bilang quotkalau sampe saya terkena covid gapapa saya mau liat adek sayaquot dokter masih tidak mengizinkan dan mama saya tetap memaksa saya pikir dokter dan pihak r tidak mengizinkan karena memang tidak ingin masyarakatnya terkena covid lagi ternyata tidak saat mama saya berhasil menemui om saya kondisi om saya sudah koma badan lebam semua makanan yg dibawakan oleh keluarga saya setiap harinya tidak ada yang di konsumsi om saya hingga semua basi dan pihak r hanya diam saja keluarga besar saya memutuskan untuk merawat om saya dirumah rasa kecewa yg kami alami saat itu sangat besar kami sangat terpukul dan tidak terima atas prilaku pihak r saat itu bisa dikatakan om saya sudah hampir tidak tertolong sudah tidak dapat berbicara tidak mengenal anggota keluarga kami seperti org linglung berjalannya waktu akhirnya om saya bisa sadar dan mengenal kami secara perlahan kami terus melatih ingatan beliau dan beliau menceritakan apa yg terjadi selama ia di rawat di r pertama om saya berusaha memanggil perawat disana karena ingin minum tetapi tidak ada satupun yg merespon kedua om saya berusaha mengambil sendiri tanpa bantuan mereka tetapi ia terjatuh dari kasur dan mengalami benturan yg kera parahnya perawat tidak langsung mengangkat tubuh om saya mereka memilih mendiamkan om saya bbrp waktu ketiga makanan yg kami bawakan bahkan makanan dari r pun tidak mereka bantu utk menyuapi om saya dgn kondisi om saya yg sudah tidak menahan sakit dan tidak dpt makan sendiri kami sekeluarga memilih tidak perhitungan kepada r tersebut mrk pun tidak meminta maaf dan tidak menjelaskan apapun kami hanya ingin om saya cepat pulih dengan pengalaman yg terjadi pada keluarga besar saya kami berharap r manapun di indonesia dapat lebih bisa menjaga pasiennya saya tau semua manusia dlm pekerjaan apapun pasti akan pernah melakukan kesalahan tapi tolong jika masih memiliki hati nurani bantu sebisa mungkin saat pasien membutuhkan karena ketika para pasien memutuskan utk opname di r kami mengharapkan bantuan kalian hingga kami kembali pulih ini menyangkut nyawa dan sangat disayangkan semenjak kejadian itu kondisi om saya kembali memburuk dan tidak dapat melakukan pengobatan di luar negeri hanya bisa dilakukan di kota besar indonesia tetapi tetap tidak ada perkembangan dan kankernya kembali tumbuh tetapi kali ini kanker yg dialami om saya terdapat tumor dibagian perut sampai akhirnya beliau meninggal di tahun kemarinbrbrtujuan saya menceritakan hal ini bukan untuk menjelekjelekkan pihak manapun terutama pihak r indonesia saya bercerita agar tidak ada lagi keluarga lain yang mengalami hal tersebut dan tidak ada lagi rumah sakit yang melakukan hal seperti ini mohon maaf jika ada salah kata dari cerita saya terimakasih,aksesibilitas,,0
keluarga besar saya pernah mengalami kekecewaan terhadap salah satu rumah sakit di indonesia sekitar tahun lalu om saya melakukan check di indonesia dan dokter mengatakan beliau hanya sakit biasa tetapi berjalannya waktu om saya semakin merasakan rasa sakit sehingga beliau memutuskan untuk check di rumah sakit singapore dan ternyata beliau di diagnosa kanker hidung stadium karena ia mengalami kanker tersebut mata beliau mulai sulit digunakan tubuh semakin kuru dan hanya bisa mengkonsumsi makanan yg lunak saja singkatnya beliau berobat rutin ke singapore sampai ia hampir sembuh total tetapi dokter mengatakan ia harus melakukan checkup bulan sekali ke r tersebut tetapi karena datangnya covid beliau tidak dapat melakukan checkup tersebut pada tengah tahun dimana pada saat itu covid kembali ramai dan meningkat semakin tinggi secara tibatiba disaat itu pun kondisi om saya sudah sangat membaik sejak awal tahun sudah mulai belajar mengendarai mobil kembali nafsu makan yang tinggi dan tubuh yang segar sampai suatu hari tepatnya tahun tersebut om saya merasa bahwa tubuhnya tidak enak karena beliau melakukan olahraga setiap hari tetapi r di kota tmpt om saya tinggal mengatakan bahwa om saya terkena covid kami sebagai keluarga menyetujui utk beliau dirawat di r dikarenakan om saya memiliki riwayat kanker tersebut dan kami ingin pihak r membantu merawat om kami yg terkena covid pada saat mengantarkan ke r pun beliau tidak di jemput ambulance melainkan keluarga kami lah yang mengantarkan ke igd dan pada saat itu om saya masih mau di suapi oleh kakak saya makan dan tentunya lahap hanya seperti orang demam biasa setiap harinya kami rutin mengantarkan makanan utk beliau tetapi karena beliau dikatakan terpapar covid kami tidak bisa langsung menemui nya beberapa hari perasaan kami sebagai keluarga memiliki kekhawatiran yang berlebih hingga akhirnya mama saya sebagai kakak dr om saya memutuskan utk ingin menemui om saya secara langsung saat itu pihak r tidak mengizinkan secara terus menerus sampai mama saya bilang quotkalau sampe saya terkena covid gapapa saya mau liat adek sayaquot dokter masih tidak mengizinkan dan mama saya tetap memaksa saya pikir dokter dan pihak r tidak mengizinkan karena memang tidak ingin masyarakatnya terkena covid lagi ternyata tidak saat mama saya berhasil menemui om saya kondisi om saya sudah koma badan lebam semua makanan yg dibawakan oleh keluarga saya setiap harinya tidak ada yang di konsumsi om saya hingga semua basi dan pihak r hanya diam saja keluarga besar saya memutuskan untuk merawat om saya dirumah rasa kecewa yg kami alami saat itu sangat besar kami sangat terpukul dan tidak terima atas prilaku pihak r saat itu bisa dikatakan om saya sudah hampir tidak tertolong sudah tidak dapat berbicara tidak mengenal anggota keluarga kami seperti org linglung berjalannya waktu akhirnya om saya bisa sadar dan mengenal kami secara perlahan kami terus melatih ingatan beliau dan beliau menceritakan apa yg terjadi selama ia di rawat di r pertama om saya berusaha memanggil perawat disana karena ingin minum tetapi tidak ada satupun yg merespon kedua om saya berusaha mengambil sendiri tanpa bantuan mereka tetapi ia terjatuh dari kasur dan mengalami benturan yg kera parahnya perawat tidak langsung mengangkat tubuh om saya mereka memilih mendiamkan om saya bbrp waktu ketiga makanan yg kami bawakan bahkan makanan dari r pun tidak mereka bantu utk menyuapi om saya dgn kondisi om saya yg sudah tidak menahan sakit dan tidak dpt makan sendiri kami sekeluarga memilih tidak perhitungan kepada r tersebut mrk pun tidak meminta maaf dan tidak menjelaskan apapun kami hanya ingin om saya cepat pulih dengan pengalaman yg terjadi pada keluarga besar saya kami berharap r manapun di indonesia dapat lebih bisa menjaga pasiennya saya tau semua manusia dlm pekerjaan apapun pasti akan pernah melakukan kesalahan tapi tolong jika masih memiliki hati nurani bantu sebisa mungkin saat pasien membutuhkan karena ketika para pasien memutuskan utk opname di r kami mengharapkan bantuan kalian hingga kami kembali pulih ini menyangkut nyawa dan sangat disayangkan semenjak kejadian itu kondisi om saya kembali memburuk dan tidak dapat melakukan pengobatan di luar negeri hanya bisa dilakukan di kota besar indonesia tetapi tetap tidak ada perkembangan dan kankernya kembali tumbuh tetapi kali ini kanker yg dialami om saya terdapat tumor dibagian perut sampai akhirnya beliau meninggal di tahun kemarinbrbrtujuan saya menceritakan hal ini bukan untuk menjelekjelekkan pihak manapun terutama pihak r indonesia saya bercerita agar tidak ada lagi keluarga lain yang mengalami hal tersebut dan tidak ada lagi rumah sakit yang melakukan hal seperti ini mohon maaf jika ada salah kata dari cerita saya terimakasih,kualitas_diagnosis,,0
alasan orang berobat ke singapura atau malaysia itu cuma yah mau sembuhbrbrtrus kenapa hrus keluar pertanyaannya karna diindonesia udah mahal gk sembuh pula malah yg ad kena mental di vonis yg enggak,biaya,,0
